item_id,interaction_count,popularity_rank,popularity_percentile
50,365,1,100.0
100,303,2,99.9
181,281,3,99.8
174,258,4,99.6
98,253,5,99.5
127,245,6,99.4
1,243,7,99.3
258,237,8,99.1
56,221,9,99.0
172,217,10,98.9
286,210,11,98.8
7,202,12,98.7
64,198,13,98.5
79,192,14,98.4
173,190,15,98.3
237,187,16,98.2
318,184,17,98.0
117,183,18,97.9
204,178,19,97.7
12,178,19,97.7
168,176,21,97.6
121,173,22,97.4
69,172,23,97.2
210,172,23,97.2
288,171,25,97.1
22,166,26,96.9
222,165,27,96.8
357,163,28,96.7
300,160,29,96.6
195,159,30,96.2
183,159,30,96.2
96,159,30,96.2
89,159,30,96.2
9,159,30,96.2
191,158,35,95.8
275,156,36,95.7
176,155,37,95.6
483,152,38,95.5
475,147,39,95.2
216,147,39,95.2
28,147,39,95.2
423,146,42,95.0
294,144,43,94.7
302,144,43,94.7
257,144,43,94.7
15,144,43,94.7
269,141,47,94.3
151,141,47,94.3
276,138,49,94.1
202,138,49,94.1
135,137,51,93.8
427,137,51,93.8
238,135,53,93.6
194,132,54,93.5
234,132,54,93.5
185,131,56,93.2
197,131,56,93.2
196,129,58,93.0
132,128,59,92.9
11,125,60,92.7
496,125,60,92.7
180,124,62,92.5
144,124,62,92.5
186,122,64,92.3
742,121,65,92.2
153,120,66,92.1
603,119,67,91.9
25,119,67,91.9
268,118,69,91.7
111,117,70,91.4
182,117,70,91.4
97,117,70,91.4
405,117,70,91.4
82,116,74,90.9
187,116,74,90.9
479,116,74,90.9
228,116,74,90.9
515,115,78,90.6
134,114,79,90.4
8,114,79,90.4
70,113,81,90.2
474,112,82,90.1
211,111,83,89.8
179,111,83,89.8
95,111,83,89.8
313,111,83,89.8
265,110,87,89.5
480,109,88,89.4
655,108,89,89.2
175,107,90,89.1
23,107,90,89.1
527,105,92,88.8
209,105,92,88.8
208,105,92,88.8
124,104,95,88.4
83,104,95,88.4
511,103,97,88.1
568,103,97,88.1
471,103,97,88.1
508,101,100,87.7
588,101,100,87.7
435,101,100,87.7
71,101,100,87.7
282,100,104,87.2
118,100,104,87.2
14,100,104,87.2
285,100,104,87.2
200,99,108,86.9
88,98,109,86.8
203,97,110,86.6
125,97,110,86.6
199,97,110,86.6
328,96,113,86.3
143,95,114,86.2
273,94,115,86.1
651,93,116,85.9
298,92,117,85.8
748,89,118,85.7
523,88,119,85.5
215,88,119,85.5
4,87,121,85.2
223,87,121,85.2
156,87,121,85.2
514,86,124,85.0
498,85,125,84.7
137,85,125,84.7
283,85,125,84.7
250,85,125,84.7
133,84,129,84.2
161,84,129,84.2
301,84,129,84.2
385,82,132,84.0
193,81,133,83.9
58,80,134,83.6
732,80,134,83.6
147,80,134,83.6
178,79,137,83.3
169,79,137,83.3
432,79,137,83.3
293,78,140,82.8
484,78,140,82.8
408,78,140,82.8
150,78,140,82.8
654,77,144,82.3
333,77,144,82.3
433,77,144,82.3
684,77,144,82.3
13,76,148,82.0
692,76,148,82.0
403,75,150,81.6
591,75,150,81.6
248,75,150,81.6
274,75,150,81.6
86,74,154,81.1
188,74,154,81.1
48,74,154,81.1
55,74,154,81.1
154,73,158,80.7
657,73,158,80.7
42,73,158,80.7
443,72,161,80.3
230,72,161,80.3
462,72,161,80.3
566,71,164,80.0
419,71,164,80.0
735,71,164,80.0
393,70,167,79.6
628,70,167,79.6
845,69,169,79.3
246,69,169,79.3
24,69,169,79.3
546,69,169,79.3
582,68,173,78.9
190,68,173,78.9
129,68,173,78.9
289,67,176,78.4
482,67,176,78.4
192,67,176,78.4
99,67,176,78.4
170,67,176,78.4
66,66,181,77.8
528,66,181,77.8
531,66,181,77.8
198,66,181,77.8
660,65,185,77.4
218,65,185,77.4
213,65,185,77.4
164,64,188,77.1
31,64,188,77.1
93,63,190,76.7
705,63,190,76.7
205,63,190,76.7
659,63,190,76.7
520,63,190,76.7
87,61,195,76.2
177,61,195,76.2
340,61,195,76.2
284,60,198,75.9
271,60,198,75.9
157,59,200,75.5
116,59,200,75.5
451,59,200,75.5
136,59,200,75.5
402,58,204,75.2
663,57,205,74.5
255,57,205,74.5
307,57,205,74.5
509,57,205,74.5
242,57,205,74.5
410,57,205,74.5
418,57,205,74.5
367,57,205,74.5
431,57,205,74.5
763,57,205,74.5
47,56,215,73.7
109,56,215,73.7
510,56,215,73.7
478,56,215,73.7
239,55,219,73.2
227,55,219,73.2
739,55,219,73.2
327,54,222,72.8
709,54,222,72.8
504,54,222,72.8
455,54,222,72.8
323,53,226,72.2
319,53,226,72.2
317,53,226,72.2
521,53,226,72.2
685,53,226,72.2
68,53,226,72.2
332,52,232,71.7
428,52,232,71.7
526,51,234,71.5
919,51,234,71.5
1012,50,236,71.0
1016,50,236,71.0
597,50,236,71.0
430,50,236,71.0
429,50,236,71.0
245,50,236,71.0
91,49,242,70.2
631,49,242,70.2
226,49,242,70.2
690,49,242,70.2
59,49,242,70.2
249,49,242,70.2
322,48,248,69.7
421,48,248,69.7
1039,48,248,69.7
304,47,251,68.8
529,47,251,68.8
550,47,251,68.8
746,47,251,68.8
235,47,251,68.8
65,47,251,68.8
303,47,251,68.8
485,47,251,68.8
272,47,251,68.8
126,47,251,68.8
241,47,251,68.8
184,46,262,68.0
123,46,262,68.0
378,46,262,68.0
92,45,265,67.3
270,45,265,67.3
411,45,265,67.3
306,45,265,67.3
214,45,265,67.3
291,45,265,67.3
233,45,265,67.3
470,45,265,67.3
10,44,273,66.4
382,44,273,66.4
447,44,273,66.4
310,44,273,66.4
866,44,273,66.4
77,44,273,66.4
661,43,279,65.9
73,43,279,65.9
519,43,279,65.9
326,42,282,65.0
699,42,282,65.0
321,42,282,65.0
33,42,282,65.0
879,42,282,65.0
472,42,282,65.0
425,42,282,65.0
501,42,282,65.0
476,42,282,65.0
513,42,282,65.0
507,42,282,65.0
792,41,293,63.8
404,41,293,63.8
530,41,293,63.8
1028,41,293,63.8
324,41,293,63.8
762,41,293,63.8
518,41,293,63.8
381,41,293,63.8
114,41,293,63.8
2,40,302,63.0
240,40,302,63.0
81,40,302,63.0
604,40,302,63.0
436,39,306,62.4
52,39,306,62.4
380,39,306,62.4
19,39,306,62.4
189,39,306,62.4
652,39,306,62.4
751,38,312,61.7
131,38,312,61.7
292,38,312,61.7
596,38,312,61.7
221,38,312,61.7
549,38,312,61.7
315,37,318,61.0
53,37,318,61.0
707,37,318,61.0
744,37,318,61.0
45,37,318,61.0
219,36,323,60.2
162,36,323,60.2
747,36,323,60.2
463,36,323,60.2
152,36,323,60.2
693,36,323,60.2
60,36,323,60.2
305,36,323,60.2
252,35,331,59.0
558,35,331,59.0
281,35,331,59.0
477,35,331,59.0
1101,35,331,59.0
473,35,331,59.0
229,35,331,59.0
517,35,331,59.0
678,35,331,59.0
469,35,331,59.0
729,35,331,59.0
648,34,342,57.7
72,34,342,57.7
1073,34,342,57.7
969,34,342,57.7
163,34,342,57.7
62,34,342,57.7
736,34,342,57.7
201,34,342,57.7
708,34,342,57.7
148,34,342,57.7
32,34,342,57.7
642,33,353,56.4
94,33,353,56.4
287,33,353,56.4
17,33,353,56.4
525,33,353,56.4
217,33,353,56.4
750,33,353,56.4
346,33,353,56.4
506,33,353,56.4
488,33,353,56.4
61,32,363,55.2
356,32,363,55.2
813,32,363,55.2
499,32,363,55.2
165,32,363,55.2
331,32,363,55.2
710,32,363,55.2
67,32,363,55.2
420,32,363,55.2
633,32,363,55.2
159,31,373,54.2
713,31,373,54.2
160,31,373,54.2
212,31,373,54.2
5,31,373,54.2
939,31,373,54.2
756,30,379,53.2
505,30,379,53.2
924,30,379,53.2
51,30,379,53.2
559,30,379,53.2
606,30,379,53.2
458,30,379,53.2
461,30,379,53.2
171,30,379,53.2
815,30,379,53.2
465,30,379,53.2
489,29,390,52.0
277,29,390,52.0
493,29,390,52.0
724,29,390,52.0
647,29,390,52.0
584,29,390,52.0
207,29,390,52.0
1142,29,390,52.0
516,28,398,50.9
497,28,398,50.9
715,28,398,50.9
993,28,398,50.9
1007,28,398,50.9
778,28,398,50.9
49,28,398,50.9
1011,28,398,50.9
290,28,398,50.9
90,28,398,50.9
963,28,398,50.9
259,27,409,49.5
280,27,409,49.5
615,27,409,49.5
3,27,409,49.5
39,27,409,49.5
544,27,409,49.5
727,27,409,49.5
487,27,409,49.5
295,27,409,49.5
607,27,409,49.5
20,27,409,49.5
662,26,420,48.0
128,26,420,48.0
673,26,420,48.0
847,26,420,48.0
434,26,420,48.0
343,26,420,48.0
1014,26,420,48.0
467,26,420,48.0
1047,26,420,48.0
1009,26,420,48.0
781,26,420,48.0
491,26,420,48.0
492,26,420,48.0
262,26,420,48.0
490,25,434,46.0
414,25,434,46.0
325,25,434,46.0
494,25,434,46.0
166,25,434,46.0
629,25,434,46.0
524,25,434,46.0
740,25,434,46.0
694,25,434,46.0
466,25,434,46.0
658,25,434,46.0
141,25,434,46.0
825,25,434,46.0
101,25,434,46.0
26,25,434,46.0
682,25,434,46.0
632,25,434,46.0
502,25,434,46.0
538,24,452,43.8
923,24,452,43.8
755,24,452,43.8
38,24,452,43.8
928,24,452,43.8
347,24,452,43.8
231,24,452,43.8
609,24,452,43.8
789,24,452,43.8
636,24,452,43.8
44,24,452,43.8
627,24,452,43.8
155,24,452,43.8
392,24,452,43.8
864,24,452,43.8
232,24,452,43.8
676,24,452,43.8
448,24,452,43.8
251,23,470,41.9
949,23,470,41.9
955,23,470,41.9
741,23,470,41.9
387,23,470,41.9
578,23,470,41.9
495,23,470,41.9
449,23,470,41.9
481,23,470,41.9
855,23,470,41.9
409,23,470,41.9
806,23,470,41.9
54,23,470,41.9
63,22,483,40.2
57,22,483,40.2
794,22,483,40.2
417,22,483,40.2
956,22,483,40.2
512,22,483,40.2
224,22,483,40.2
689,22,483,40.2
220,22,483,40.2
486,22,483,40.2
1067,22,483,40.2
895,22,483,40.2
1035,22,483,40.2
399,22,483,40.2
76,22,483,40.2
334,21,498,38.4
656,21,498,38.4
679,21,498,38.4
345,21,498,38.4
640,21,498,38.4
772,21,498,38.4
720,21,498,38.4
686,21,498,38.4
260,21,498,38.4
696,21,498,38.4
926,21,498,38.4
665,21,498,38.4
576,21,498,38.4
225,21,498,38.4
770,20,512,36.6
650,20,512,36.6
311,20,512,36.6
554,20,512,36.6
1119,20,512,36.6
921,20,512,36.6
371,20,512,36.6
844,20,512,36.6
278,20,512,36.6
619,20,512,36.6
721,20,512,36.6
416,20,512,36.6
236,20,512,36.6
614,20,512,36.6
602,20,512,36.6
297,20,512,36.6
1019,19,528,35.2
1098,19,528,35.2
358,19,528,35.2
108,19,528,35.2
641,19,528,35.2
611,19,528,35.2
553,19,528,35.2
1041,18,535,33.7
1048,18,535,33.7
780,18,535,33.7
1065,18,535,33.7
697,18,535,33.7
206,18,535,33.7
140,18,535,33.7
790,18,535,33.7
27,18,535,33.7
625,18,535,33.7
243,18,535,33.7
716,18,535,33.7
646,18,535,33.7
1197,18,535,33.7
535,18,535,33.7
754,18,535,33.7
589,18,535,33.7
833,17,552,32.0
959,17,552,32.0
1194,17,552,32.0
820,17,552,32.0
946,17,552,32.0
943,17,552,32.0
29,17,552,32.0
299,17,552,32.0
581,17,552,32.0
107,17,552,32.0
312,17,552,32.0
671,16,563,30.7
1008,16,563,30.7
702,16,563,30.7
717,16,563,30.7
937,16,563,30.7
898,16,563,30.7
468,16,563,30.7
30,16,563,30.7
102,16,563,30.7
922,16,563,30.7
338,16,563,30.7
595,15,574,28.9
1050,15,574,28.9
1137,15,574,28.9
547,15,574,28.9
608,15,574,28.9
401,15,574,28.9
610,15,574,28.9
40,15,574,28.9
887,15,574,28.9
244,15,574,28.9
365,15,574,28.9
942,15,574,28.9
366,15,574,28.9
85,15,574,28.9
653,15,574,28.9
934,15,574,28.9
675,15,574,28.9
372,15,574,28.9
737,14,592,26.8
142,14,592,26.8
1129,14,592,26.8
966,14,592,26.8
1134,14,592,26.8
1074,14,592,26.8
616,14,592,26.8
856,14,592,26.8
500,14,592,26.8
831,14,592,26.8
1017,14,592,26.8
1070,14,592,26.8
638,14,592,26.8
106,14,592,26.8
1010,14,592,26.8
875,14,592,26.8
936,14,592,26.8
874,13,609,24.7
768,13,609,24.7
522,13,609,24.7
1044,13,609,24.7
823,13,609,24.7
612,13,609,24.7
412,13,609,24.7
1046,13,609,24.7
664,13,609,24.7
1109,13,609,24.7
1160,13,609,24.7
80,13,609,24.7
562,13,609,24.7
886,13,609,24.7
945,13,609,24.7
952,13,609,24.7
873,13,609,24.7
880,12,626,22.4
105,12,626,22.4
1020,12,626,22.4
872,12,626,22.4
369,12,626,22.4
941,12,626,22.4
944,12,626,22.4
971,12,626,22.4
837,12,626,22.4
1051,12,626,22.4
1063,12,626,22.4
1152,12,626,22.4
122,12,626,22.4
728,12,626,22.4
613,12,626,22.4
961,12,626,22.4
645,12,626,22.4
580,12,626,22.4
46,12,626,22.4
16,12,626,22.4
672,11,646,19.7
1022,11,646,19.7
1021,11,646,19.7
975,11,646,19.7
712,11,646,19.7
984,11,646,19.7
1149,11,646,19.7
583,11,646,19.7
386,11,646,19.7
561,11,646,19.7
396,11,646,19.7
722,11,646,19.7
1221,11,646,19.7
761,11,646,19.7
459,11,646,19.7
279,11,646,19.7
622,11,646,19.7
649,11,646,19.7
264,11,646,19.7
840,11,646,19.7
503,11,646,19.7
639,11,646,19.7
930,11,646,19.7
1226,11,646,19.7
1084,11,646,19.7
21,10,671,16.4
329,10,671,16.4
1218,10,671,16.4
379,10,671,16.4
167,10,671,16.4
925,10,671,16.4
980,10,671,16.4
1217,10,671,16.4
1220,10,671,16.4
731,10,671,16.4
960,10,671,16.4
444,10,671,16.4
413,10,671,16.4
824,10,671,16.4
841,10,671,16.4
1147,10,671,16.4
253,10,671,16.4
537,10,671,16.4
846,10,671,16.4
849,10,671,16.4
827,10,671,16.4
826,10,671,16.4
854,10,671,16.4
541,10,671,16.4
1118,10,671,16.4
570,10,671,16.4
1136,10,671,16.4
464,10,671,16.4
1053,9,699,12.7
1267,9,699,12.7
1277,9,699,12.7
1240,9,699,12.7
965,9,699,12.7
320,9,699,12.7
974,9,699,12.7
254,9,699,12.7
1103,9,699,12.7
1210,9,699,12.7
1033,9,699,12.7
1115,9,699,12.7
990,9,699,12.7
1135,9,699,12.7
1093,9,699,12.7
1059,9,699,12.7
384,9,699,12.7
452,9,699,12.7
811,9,699,12.7
809,9,699,12.7
391,9,699,12.7
871,9,699,12.7
881,9,699,12.7
41,9,699,12.7
644,9,699,12.7
567,9,699,12.7
753,9,699,12.7
932,9,699,12.7
703,9,699,12.7
605,9,699,12.7
670,9,699,12.7
723,9,699,12.7
929,9,699,12.7
601,9,699,12.7
6,8,733,8.6
445,8,733,8.6
617,8,733,8.6
805,8,733,8.6
802,8,733,8.6
1060,8,733,8.6
796,8,733,8.6
1069,8,733,8.6
785,8,733,8.6
1315,8,733,8.6
774,8,733,8.6
1086,8,733,8.6
426,8,733,8.6
749,8,733,8.6
552,8,733,8.6
1124,8,733,8.6
145,8,733,8.6
1126,8,733,8.6
569,8,733,8.6
460,8,733,8.6
1042,8,733,8.6
120,8,733,8.6
637,8,733,8.6
836,8,733,8.6
988,8,733,8.6
373,8,733,8.6
979,8,733,8.6
342,8,733,8.6
350,8,733,8.6
363,8,733,8.6
395,8,733,8.6
674,8,733,8.6
853,8,733,8.6
1168,7,766,5.1
1176,7,766,5.1
533,7,766,5.1
1143,7,766,5.1
730,7,766,5.1
339,7,766,5.1
1113,7,766,5.1
543,7,766,5.1
1286,7,766,5.1
718,7,766,5.1
634,7,766,5.1
842,7,766,5.1
43,7,766,5.1
1025,7,766,5.1
865,7,766,5.1
308,7,766,5.1
1061,7,766,5.1
797,7,766,5.1
624,7,766,5.1
1018,7,766,5.1
892,7,766,5.1
620,7,766,5.1
1091,7,766,5.1
896,7,766,5.1
745,6,790,2.6
450,6,790,2.6
863,6,790,2.6
1203,6,790,2.6
336,6,790,2.6
1121,6,790,2.6
1110,6,790,2.6
972,6,790,2.6
1005,6,790,2.6
995,6,790,2.6
1097,6,790,2.6
370,6,790,2.6
389,6,790,2.6
882,6,790,2.6
330,6,790,2.6
573,6,790,2.6
630,5,806,1.3
962,5,806,1.3
968,5,806,1.3
1204,5,806,1.3
1451,5,806,1.3
618,4,811,0.7
348,4,811,0.7
1045,4,811,0.7
900,4,811,0.7
349,4,811,0.7
904,2,816,0.3
344,2,816,0.3
905,1,818,0.1
